Reported Date,Monitor ID,Monitor UUID,Monitor Name,Monitor Tags,Media ID,Media Name,Playback Date,Media Duration,Media Tags
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826804,cliente27_v15,2025-08-01 00:42:44.181420+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826824,cliente28_v15,2025-08-01 00:42:50.663690+00:00,5840,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826914,cliente29_v15,2025-08-01 00:42:57.386504+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826945,cliente30_v15,2025-08-01 00:43:04.093751+00:00,6070,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825349,cliente1_v16,2025-08-01 00:43:10.619557+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825398,cliente2_v16,2025-08-01 00:43:16.824965+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825737,cliente3_v16,2025-08-01 00:43:23.030045+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825769,cliente4_v16,2025-08-01 00:43:29.233915+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825813,cliente5_v16,2025-08-01 00:43:35.439051+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825859,cliente6_v16,2025-08-01 00:43:41.644724+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825906,cliente7_v16,2025-08-01 00:43:47.850027+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825971,cliente9_v16,2025-08-01 00:43:54.057173+00:00,6000,[]
